detect_date,oil,probable_oil,possible_oil,other,wind,oil_other,iso3
2017-02-01,0,1,0,0,0,0,SUR
2017-02-01,0,0,1,40,73,40,SWE
2017-02-01,2,0,0,0,0,2,TGO
2017-02-01,325,0,16,34,0,359,THA
2017-02-01,74,0,0,0,0,74,TTO
2017-02-01,16,11,2,1,0,17,TUN
2017-02-01,5,0,9,33,0,38,TUR
2017-02-01,6,4,2,0,2,6,TWN
2017-02-01,2,1,0,0,0,2,TZA
2017-02-01,17,3,3,9,0,26,UKR
2017-02-01,0,0,1,0,0,0,URY
2017-02-01,2460,49,1,521,5,2981,USA
2017-02-01,13,2,3,1,0,14,VEN
2017-02-01,43,0,19,110,8,153,VNM
2017-02-01,0,0,1,0,0,0,VUT
2017-02-01,2,0,6,0,0,2,YEM
2017-02-01,1,0,3,1,0,2,ZAF
2017-03-01,1,0,0,0,0,1,ABW
2017-03-01,121,1,1,0,0,121,AGO
2017-03-01,531,1,1,9,0,540,ARE
2017-03-01,0,0,1,0,0,0,ASM
2017-03-01,0,0,1,0,0,0,ATG
2017-03-01,66,4,24,38,0,104,AUS
2017-03-01,0,0,1,5,236,5,BEL
2017-03-01,9,0,0,0,0,9,BEN
2017-03-01,0,0,1,0,0,0,BES
2017-03-01,4,2,0,0,0,4,BGD
2017-03-01,1,0,0,0,0,1,BGR
2017-03-01,3,0,1,0,0,3,BHR
2017-03-01,0,0,2,3,0,3,BHS
2017-03-01,141,12,6,16,0,157,BRA
2017-03-01,118,2,0,0,0,118,BRN
2017-03-01,6,0,7,8,0,14,CAN
2017-03-01,0,0,1,1,0,1,CHL
2017-03-01,292,33,81,166,553,458,CHN
2017-03-01,12,0,0,0,0,12,CIV
2017-03-01,71,0,0,0,0,71,CMR
2017-03-01,54,1,0,0,0,54,COD
2017-03-01,63,0,0,0,0,63,COG
2017-03-01,11,3,3,0,0,11,COL
2017-03-01,2,0,5,1,0,3,CUB
2017-03-01,21,16,2,29,1169,50,DEU
2017-03-01,0,0,1,0,0,0,DJI
2017-03-01,0,0,1,0,0,0,DMA
2017-03-01,14,2,1,17,463,31,DNK
2017-03-01,0,0,1,0,0,0,DOM
2017-03-01,0,0,4,1,0,1,DZA
2017-03-01,9,1,3,0,0,9,ECU
2017-03-01,173,6,1,4,0,177,EGY
2017-03-01,0,0,2,0,0,0,ERI
2017-03-01,3,10,0,6,0,9,ESP
2017-03-01,0,0,1,1,0,1,EST
2017-03-01,0,0,0,40,1,40,FIN
2017-03-01,0,0,1,0,0,0,FJI
2017-03-01,0,0,3,23,0,23,FRA
2017-03-01,121,0,1,0,0,121,GAB
2017-03-01,182,11,3,15,1835,197,GBR
2017-03-01,1,0,0,1,0,2,GEO
2017-03-01,2,0,3,1,0,3,GHA
2017-03-01,0,0,1,1,0,1,GIN
2017-03-01,0,0,2,0,0,0,GMB
2017-03-01,0,0,1,10,0,10,GNB
2017-03-01,13,0,0,0,0,13,GNQ
2017-03-01,5,0,0,0,0,5,GRC
2017-03-01,0,0,1,0,0,0,GUF
2017-03-01,16,0,0,3,0,19,HRV
2017-03-01,542,26,51,64,0,606,IDN
2017-03-01,168,3,34,18,0,186,IND
2017-03-01,3,0,2,5,7,8,IRL
2017-03-01,157,2,0,2,0,159,IRN
2017-03-01,1,0,0,8,0,9,IRQ
2017-03-01,4,0,2,0,0,4,ISR
2017-03-01,104,6,3,4,0,108,ITA
2017-03-01,0,0,0,3,0,3,JEY
2017-03-01,19,7,35,26,0,45,JPN
2017-03-01,0,0,3,0,0,0,KEN
2017-03-01,3,0,2,6,0,9,KHM
2017-03-01,5,0,55,50,2,55,KOR
2017-03-01,35,0,0,33,0,68,KWT
2017-03-01,0,0,1,1,0,1,LBN
2017-03-01,0,0,1,0,0,0,LBR
2017-03-01,12,0,2,0,0,12,LBY
2017-03-01,0,0,4,3,0,3,LKA
2017-03-01,1,0,0,0,0,1,LTU
2017-03-01,0,0,1,0,0,0,LVA
2017-03-01,0,0,1,0,0,0,MDG
2017-03-01,196,1,10,0,0,196,MEX
2017-03-01,4,0,14,5,0,9,MMR
2017-03-01,0,0,0,3,0,3,MOZ
2017-03-01,1,0,4,0,0,1,MRT
2017-03-01,287,25,62,24,0,311,MYS
2017-03-01,14,0,0,0,0,14,NAM
2017-03-01,411,2,1,1,0,412,NGA
2017-03-01,0,0,3,1,0,1,NIC
2017-03-01,113,12,1,4,293,117,NLD
2017-03-01,14,0,0,7,1,21,NOR
2017-03-01,7,0,2,4,0,11,NZL
2017-03-01,18,0,14,1,0,19,None
2017-03-01,6,0,1,0,0,6,OMN
2017-03-01,0,0,1,0,0,0,PAK
2017-03-01,0,1,5,0,0,0,PAN
2017-03-01,90,1,5,4,0,94,PER
2017-03-01,7,0,6,5,0,12,PHL
2017-03-01,3,0,1,1,0,4,PNG
2017-03-01,9,3,0,5,3,14,POL
2017-03-01,0,0,1,0,0,0,PRI
2017-03-01,1,0,3,4,0,5,PRK
2017-03-01,0,0,1,0,0,0,PRT
2017-03-01,164,0,3,1,0,165,QAT
2017-03-01,8,0,0,0,0,8,ROU
2017-03-01,9,2,5,3,0,12,RUS
2017-03-01,631,28,6,1,0,632,SAU
2017-03-01,1,0,3,0,0,1,SDN
2017-03-01,2,0,1,0,0,2,SEN
2017-03-01,0,0,0,4,0,4,SLE
2017-03-01,0,0,2,1,0,1,SOM
2017-03-01,0,1,0,0,0,0,SUR
2017-03-01,0,0,1,42,73,42,SWE
2017-03-01,1,0,0,0,0,1,TGO
2017-03-01,395,0,14,35,0,430,THA
2017-03-01,74,0,0,0,0,74,TTO
2017-03-01,15,11,2,1,0,16,TUN
2017-03-01,5,0,9,33,0,38,TUR
2017-03-01,7,4,2,0,2,7,TWN
2017-03-01,2,1,0,0,0,2,TZA
2017-03-01,16,3,3,10,0,26,UKR
2017-03-01,0,0,1,0,0,0,URY
2017-03-01,2452,49,1,497,5,2949,USA
2017-03-01,13,2,3,1,0,14,VEN
2017-03-01,44,0,22,110,10,154,VNM
